content,score,at
Mantap,5,6/5/2023 22:03
"Akulaku Lancar Jaya,mau kapanpun ajukan Dacil tinggal klik. Tidak pernah di tolak asal pembayaran tidak pernah telat.",5,6/5/2023 22:03
Apk sangat memuaskan,5,6/5/2023 21:59
Trimakasih,5,6/5/2023 21:55
"Gak ngerti sama apk ini. Berapan kali coba tapi gak pernah lolos, sekalinya lolos limit cuma 200 rb,pembayaran juga saya lunasin 2minggu sebelum jatuh tgl tempo eh pas mau ngajuin lagi katanya maaf kualitas kredit anda tidak memenuhi ketentuan, harap bayar tagihan anda tepat waktu. Padahal pembayaran sya lebih awal dari tgl jatuh tempo..Apk yg tidak membantu sama sekali. Tolong dong data data saya di hapus. Saya gk mau data saya di salah gunakan 🙏🙏.. Sekali lagi tolong data data saya di hapus.",1,6/5/2023 21:54
percuma ada limit 2 jt gk bsa dipake ngapain coba ada limit mauu ketawa nyetir.. gk ngejek nih 😁,1,6/5/2023 21:53
Mantap,5,6/5/2023 21:51
Ribet. Gak bermanfaat,1,6/5/2023 21:49
Ok,5,6/5/2023 21:45
Keren meski pinjaman susah di acc juga padahal bayaran pas sama waktunya,5,6/5/2023 21:43
Keren,5,6/5/2023 21:42
"Aplikasinya sangat membantu tapi kenapa saat pengajuan saya yg 4 kali kok di persulit ya ? Jadi ydh deh saya uninstal aplikasi ini, dan mohon hapus juga data diri saya, terimakasih akulaku",3,6/5/2023 21:39
Sangat membantu sekali,5,6/5/2023 21:39
sangat membantu ngatasi masalah keuangan,5,6/5/2023 21:38
"Sangat terbantu dengan adanya Akulaku,puas banget pokoknya.",5,6/5/2023 21:37
ok,5,6/5/2023 21:37
Sangat bagus....,5,6/5/2023 21:36
Ok 👍👍,5,6/5/2023 21:33
Good job,5,6/5/2023 21:32
"saya pengguna akulaku baru, blm setahun si..tp saya suka belanja disini juga,dan ada pinjaman uangnya juga .tp tenor cuma 30hr,dan sy juga pinjam disini wlw jangka wkt pembyrn cuma 30hr,sy tetap pinjam ,tenor sdh smp 1.8..pkoknya naik terus..trus bulan ini sy telat 2 hari byrnya..krn sy gajian telat juga...dan ternyata tenor pinjamannya tru drastis mnjd 300rb..parah bgt ga si..pdhl wlw sy byr telat tpkan sy byr,tolong akulaku naikin tenor pinjaman sy lg..krn sy byrnya bener..dan g kabur..itu aja",3,6/5/2023 21:31
Aiplikasi akulaku bagus untuk orang orang kepepet duit di mohon untuk tidak melakukan tlpon2 sblum jatuh tempo 5 hari lagi,2,6/5/2023 21:29
Iya,5,6/5/2023 21:26
"Pakai pay percobaan dalam satu bln, bisa pakai bayar blm jatuh tempo, mau pakai lagi bln kedua tak bisa, apl apa an cuma kebanyakan PHP doang, hati pakai pinjaman di aku laku ini karna pertama dapat dan yg kedua naik limit, eh yg ketiga jangan harap dapat pinjaman lagi. PHP banyak yg di imingin..aplikasi biadap...",1,6/5/2023 21:26
Memudahkan,5,6/5/2023 21:26
kenapa di akulaku orang yang jualan tidak ora di pertahankan.. menjengkelkan,1,6/5/2023 21:24
"Makin gk jelas, sudah pinjam beberapa kali dan sekarang malah limit turun dan malah harus pake bpjs, padahal bayar selalu lebih awal..hadeh",1,6/5/2023 21:24
Akulaku mantap,5,6/5/2023 21:23
Sangat membantu,5,6/5/2023 21:22
Aplikasi mantab,5,6/5/2023 21:22
Kenapa dana cicil saya tidak muncul ya,5,6/5/2023 21:22
Sangat membantu,5,6/5/2023 21:22
Terus Konsisten Kasih diskon & promonya ya..,5,6/5/2023 21:21
Terimakasih sdh dimudahkan segalanya nggak perlu ribet,5,6/5/2023 21:18
Bagus,5,6/5/2023 21:16
Sangat membantu,5,6/5/2023 21:12
Aku laku emang bagus pelayan cepat,5,6/5/2023 21:11
Naisssss,5,6/5/2023 21:10
Mantap yang penting amanah,5,6/5/2023 21:04
Mantap,5,6/5/2023 21:04
Nice,5,6/5/2023 21:04
Aplikasi yg bisa di percaya,5,6/5/2023 21:01
Mantap sangat membantu 👍,5,6/5/2023 21:01
Kecewa berat sama ini aplikasi Org bayar tepat waktu kok lunas minjem lagi ditolak kan aneh,1,6/5/2023 20:58
Jangan bawel lain kali apk bagus sama jangan di persulit,5,6/5/2023 20:57
Belum pernah melakukan pinjaman,5,6/5/2023 20:57
Ok,1,6/5/2023 20:55
"Limit masih bnyk,tapi kok ga bisa di pake ya,,,",2,6/5/2023 20:54
Pokoke kepenak,5,6/5/2023 20:53
"Membantu sangat, mudah²n kedepannya konsisten dgn bunga kecilnya. Hihiii",5,6/5/2023 20:50
"prosesnya sulit, pengisian biodata saja gak pernah berhasil,,, payah,,,,, lebih mudah di LAZADA & SOPIE ngak da 2 nya",2,6/5/2023 20:47
Tolong bantu agar limit pay later 4jt bisa di gunakan pak.. terimakasih,5,6/5/2023 20:47
Bunga rendah dan gampang,5,6/5/2023 20:47
Saya sangat puas proses cepat keamanan terjamin,5,6/5/2023 20:46
Sangat menolong,5,6/5/2023 20:45
"Alhamdulillah akhirnya ua uninstal, gak guna, moga cepet bangkrut aaammiiiin ya allah",1,6/5/2023 20:44
Ok,5,6/5/2023 20:44
Sangat membantu,4,6/5/2023 20:44
Akulaku sangt bgus bgt,5,6/5/2023 20:43
Mantap,5,6/5/2023 20:42
Limit paylater ko GK bisa di gunakan yah gagal terus padahal selalu bayar sebelum jatuh tempo,1,6/5/2023 20:42
Sangat membantu sekali,5,6/5/2023 20:41
"Sangat membantu sekali ,semua jadi lebih mudah....sukses selalu akulaku",5,6/5/2023 20:39
Asik limitku jalan lagi makasih,5,6/5/2023 20:38
"Bener² baik,,tapi knpa susah mau isi pls sama token listriknya..",5,6/5/2023 20:38
Sy sdh menggunakan aku laku sdh 4th kenapa sekarang sy mau pijem lagi ga di ase ase ada apa kecewa sy salah nya di mana jelasin kecewa sekali sy tlg data sy minta di hapus pembayaran blm pernah telat malah pijeman lagi di tolak,1,6/5/2023 20:38
Sangat membantu,5,6/5/2023 20:37
Paling top emang,5,6/5/2023 20:37
Mantab min,5,6/5/2023 20:35
Sangat membantu mas Alloh aplikasih ini debes bnget bunga ya ringan mantap deeh sukses buat akulaku..... Mudan pinjam uang ya bisa berapa bulan in gth biar tambah ringan,5,6/5/2023 20:34
Thankss,5,6/5/2023 20:33
Ok,5,6/5/2023 20:33
Buat kredit ini aplikasi yang sangat membantu limit nya paling gede dari aplikasi lain nya.,5,6/5/2023 20:33
Tai kucing. AkuLaku biadab Njing.,1,6/5/2023 20:33
Good,5,6/5/2023 20:32
no coment,5,6/5/2023 20:32
Mantap,5,6/5/2023 20:30
"Cepat,mudah,terbaik",5,6/5/2023 20:29
Mantap,5,6/5/2023 20:28
Ok oce,5,6/5/2023 20:27
"Kecewa saya, saya lunasin sehari sebelum jatuh tempo malah gak bisa ngajuin KTA lagi, padahal sudah hampir 2 tahun saya menjadi nasabah KTA akulaku gak pernah gagal bayar. Ok deh gpp..terima kasih",2,6/5/2023 20:26
Aku laku memang sipp,5,6/5/2023 20:25
"Sangat membantu, terimakasih untuk pelayanannya sangat memuaskan",5,6/5/2023 20:25
Gud,4,6/5/2023 20:23
"Akulaku bagus menurut saya, cuma masalah bayar lebih awal dari tempo malah limit turun",5,6/5/2023 20:22
Ok,5,6/5/2023 20:22
Kenapa skrg tdk di acc lagi pinjaman,5,6/5/2023 20:21
Sangat puas,5,6/5/2023 20:19
Good,5,6/5/2023 20:18
"Alhamdulillah sangat mudah prosesny sangat membantu sekali bagi orng"" menengah kebawah ..makasih akulaku sukses selalu",5,6/5/2023 20:17
sangat membantu,5,6/5/2023 20:15
Susah,5,6/5/2023 20:13
smua jadi praktis.,5,6/5/2023 20:11
Trima kasih,5,6/5/2023 20:11
Thx sangat membantu,5,6/5/2023 20:08
Mantap,5,6/5/2023 20:04
"Ngaco bgt akulaku bayar pinjaman lebih awal dari jatuh tempo, malah gak bisa ngajuin lg, stress admin nya, sudah gila apa tolong konsisten kalah sama aplikasi orange sama si biru..",1,6/5/2023 20:03
Mantap,5,6/5/2023 20:01
Di kasih bintang 3 dlu yaa soalnx tenornya tidak sesuai padahal sblum jatuh tempo sudah di lunasi kok tenornya makin kecil yaa apakah apk akulaku kehabisan dana.? 2 minggu sebelum jatuh tempo sudah di lunasi kok tenornya makin kecil padahal sebelum di lunasi tenornya besar kok selesai di lunasi malah turun tenornya apakah.... Dan........ ☺ Padahal saya sudah ksih bintang 5 pas di ajukan kembali malah kecil🤦‍♂️,3,6/5/2023 20:00
Mantap,5,6/5/2023 19:59
Mantap,5,6/5/2023 19:58
Saya kasih bintang 5 .. semoga bisa di pertimbangkan seperti biasam dan menghapus data saya yang jelek,5,6/5/2023 19:58
Aplikasi ini sangat membantu,5,6/5/2023 19:57
Membantu,5,6/5/2023 19:57
Gaada kejelasan ga salah apa apa jadi ga bisa di pakai,3,6/5/2023 19:56
Sangat memuaskan,5,6/5/2023 19:53
"Pelayanan,nya sangat baik, promoh nya bsnyak dsn komplit produk nya",5,6/5/2023 19:52
sangat bisa diandalkan,5,6/5/2023 19:51
Sangat membantu,5,6/5/2023 19:51
Oke,5,6/5/2023 19:51
"terimakasih akulaku, saya sangat senang pakai aplikasi ini sangat membantu,aplikasi simple tidak ribet, gampang di gunakan,,,, sukses terus akulaku,,terimakasih akulaku, sudah membantu saya,,",5,6/5/2023 19:48
Aplikasi nya mantap sangat membantu,5,6/5/2023 19:46
Paylater tidak bisa digunakan,1,6/5/2023 19:45
Trima kasih akulaku,5,6/5/2023 19:45
Kecewa sma akulaku limit tinggi tiba tiba turun...playleter ngga bisa di gunain padahal bayar sebelum jatuh tempo..aplikasi ngga guna,1,6/5/2023 19:44
Mas limit udah 2jt. Kok turun lagi. Ini gimna sih.,5,6/5/2023 19:44
Sangat bagus dan menolong kerna sudah memberi pinjeman bagi orang selagi ada kebutuhan mendadak,5,6/5/2023 19:40
Limit di bwah jdi 4 bintang dulu yah kalau limit udah di atas bru di 5 bintang,4,6/5/2023 19:39
Sangat puas belanja online di sini,5,6/5/2023 19:37
Sudah di bayar masih aja neror semoga cepet bangkrut lintah darat,1,6/5/2023 19:35
Mntaaaf dan joss,5,6/5/2023 19:35
"Mantap,,proses cepat.",5,6/5/2023 19:34
"Akulaku gak konsisten,, cuma telat sekali byar cicilan sampe skrg gak bisa ajukan pinjaman lagi,, Bnyk notif tpi prcuma gak bisa d pke, payahhh!!! Kecewa",1,6/5/2023 19:34
Solusi cepat pilihan tepat,5,6/5/2023 19:34
"kenapa sekarang akulaku ga bisa dana cicilnya.. harus ada bpjstku, udah di isi tp gagal terus. pdhl ga pernah telat bayar🤨",2,6/5/2023 19:32
SANGAT PUAS HARGA NYA PUN MURAH KUALITAS BAGUS COCOK MENDAPATKAN BINTANG 5 The Best Akulaku,5,6/5/2023 19:31
Keren,5,6/5/2023 19:31
Sangat membantu,5,6/5/2023 19:30
"Kalau bisa pinjaman nya ada cicilan per-bulan, agar peminjaman bisa sedikit besar untuk modal usaha. DUM 🙏🏻",5,6/5/2023 19:30
Saya Sukaa,5,6/5/2023 19:29
Download segera aplikasi sangat berguna the best,5,6/5/2023 19:29
Good,5,6/5/2023 19:26
Mantap,5,6/5/2023 19:26
Suka dengan aplikasi ini,5,6/5/2023 19:24
Sangat senang skali..,5,6/5/2023 19:22
Simple .good,5,6/5/2023 19:22
"Akulaku sangat membantu saya ,walupun limit saya kecil ,semoga kedepannya makin baik lagi 👍👍",5,6/5/2023 19:19
Sangat membantu.terimakasih akulaku,5,6/5/2023 19:19
Gak tau mau kecewa atau nggak bru pertama kali pesan di akulaku tapi no resi tdk dpt di lacak,2,6/5/2023 19:19
Mantap,5,6/5/2023 19:18
Ok membantu,5,6/5/2023 19:18
Kredit selalu limit,1,6/5/2023 19:17
Sipp membantu sangat,5,6/5/2023 19:13
Semoga bisa pakai limit nya,5,6/5/2023 19:13
Teri.a kasih akulaku,5,6/5/2023 19:12
Boleh,5,6/5/2023 19:11
"Pertanyaan saya, bagaimana ketika tidak memiliki ATM atau Rekening, apakah bisa menggunakan e-wallet seperti Dana..?",3,6/5/2023 19:11
Nga pernah dapet promo sueee,1,6/5/2023 19:11
Bagus dan bermanfaat,5,6/5/2023 19:11
Perfect sangat membantu,5,6/5/2023 19:08
Sangat baik,5,6/5/2023 19:06
Sangat membantu,5,6/5/2023 19:06
Sangat bagus dan cepet proses pinjamannya.,5,6/5/2023 19:06
Ok,5,6/5/2023 19:04
Rekomendasi,5,6/5/2023 19:04
okk,5,6/5/2023 19:04
aplikasi mantap dan sangat membantu,5,6/5/2023 19:03
"Bintang kmreen saya hapus,,,karnaa pas saya ,ngajuin lagii knpaa malah tdk di setujui,pdhl sayaa sll byr tepaat waktu unk, danaa cicilll dan ,untuk cicilan 1 bulaaan... udaah seneng bgt,,dg akulaku tpiii tetibaaa gaak bisaaa melakukaan traksaksi pulsa dn melakukan pinjamaan dana cicill or payleter 1bulaaan...kecawaaa bgt siiiih....",1,6/5/2023 18:59
Bagus,5,6/5/2023 18:57
"Mohon Di Cek Kembali utk Sistemnya, sy melakukan pembayaran setiap sebelum tgl jatuh temponya, tp kenapa yg lancar utk melakukan Pembayaran ini koq malah seolah- olah di Persulit ya.., Terima Kasih.",5,6/5/2023 18:57
Mantap,5,6/5/2023 18:56
Mantap,5,6/5/2023 18:55
"Kenapa saya selalu tertib pembayaran limit ,bukannya naik malah turun , padahal sudah 5 kali pinjam , ini malah mau mengajukan lagi tidak bisa .",1,6/5/2023 18:53
Semoga dpt pinjam lagi .. bayar selalu lancar tanpa telat sehari pun,5,6/5/2023 18:52
Mantap,5,6/5/2023 18:51
Recommended,5,6/5/2023 18:51
"Saya gabung di grup FB Akulaku..busett banyak amat yg Galbay...nah buat Akulaku RASAIN....makanya nasabah yg baik selalu bayar tepat ga punya sangkutan di cuekin di persulit, sedangkan Nasabah Galbay di lolosin sekarang RASAIN......Mau BANGKRUT BODO AMAT GW UDAH GA PUNYA UTANG YA",1,6/5/2023 18:50
Bagus,5,6/5/2023 18:49
